上「,あの
美,しい
しい,口髭
口髭,（
（,くちひげ
くちひげ,）
）,をはやし
をはやし,、
、,気
気,の
の,利
利,いた
いた,黒
黒,の
の,モ
モ,ー
ー,ニング
ニング,に
に,、
、,流行
流行,の
の,折鞄
折鞄,（
（,おりかばん
おりかばん,）
）,という
という,扮装
扮装,（
（,いでたち
いでたち,）
）,のその
のその,男
男,は
は,、
、,如何
如何,（
（,いか
いか,）
）,にも
にも,物慣
物慣,れた
れた,調子
調子,で
で,、
、,支配人
支配人,の
の,前
前,の
の,椅子
椅子,に
に,腰
腰,を
を,下
下,した
した,。
。,そして
そして,シガレット
シガレット,・
・,ケ
ケ,ー
ー,ス
ス,から
から,、
、,高価
高価,な
な,埃及
埃及,（
（,エジプト
エジプト,）
）,の
の,紙巻煙草
紙巻煙草,を
を,取出
取出,して
して,、
、,卓上
卓上,の
の,灰皿
灰皿,に
に,添
添,えられた
えられた,燐寸
燐寸,（
（,マッチ
マッチ,）
）,を
を,手際
手際,よく
よく,擦
擦,（
（,す
す,）
）,ると
ると,、
、,青味
青味,がかった
がかった,煙
煙,を
を,、
、,支配人
支配人,の
の,鼻先
鼻先,へ
へ,フッ
フッ,と
と,吹出
吹出,した
した,。「
。「,貴下
貴下,の
の,職工待遇問題
職工待遇問題,に
に,関
関,する
する,御意見
御意見,を
を,」
」,とか
とか,、
、,何
何,とか
とか,、
、,新聞記者特有
新聞記者特有,の
の,、
、,相手
相手,を
を,呑
呑,んでかかった
んでかかった,様
様,な
な,、
、,それでいて
それでいて,、
、,どこか
どこか,無邪気
無邪気,な
な,、
、,人懐
人懐,っこい
っこい,調子
調子,で
で,、
、,その
その,男
男,はこう
はこう,切出
切出,した
した,。
。,そこで
そこで,支配人
支配人,は
は,、
、,労働問題
労働問題,について
について,、
、,多分
多分,は
は,労資協調
労資協調,、
、,温情主義
温情主義,という
という,様
様,なことを
なことを,、
、,大
大,いに
いに,論
論,じた
じた,訳
訳,であるが
であるが,、
、,それはこの
それはこの,話
話,に
に,関係
関係,がないから
がないから,略
略,するとして
するとして,、
、,約三十分
約三十分,ばかり
ばかり,支配人
支配人,の
の,室
室,（
（,しつ
しつ,）
）,に
に,居
居,った
った,所
所,の
の,、
、,その
その,新聞記者
新聞記者,が
が,、
、,支配人
支配人,が
が,一席弁
一席弁,じ
じ,終
終,ったところで
ったところで,「
「,一寸失敬
一寸失敬,」
」,といって
といって,便所
便所,に
に,立
立,った
った,間
間,に
に,、
、,姿
姿,を
を,消
消,して
して,了
了,ったのである
ったのである,。
。,支配人
支配人,は
は,、
、,無作法
無作法,な
な,奴
奴,だ
だ,位
位,で
で,、
、,別
別,に
に,気
気,にもとめないで
にもとめないで,、
、,丁度昼食
丁度昼食,の
の,時間
時間,だったので
だったので,、
、,食堂
食堂,へと
へと,出掛
出掛,けて
けて,行
行,ったが
ったが,、
、,暫
暫,（
（,しばら
しばら,）
）,くすると
くすると,近所
近所,の
の,洋食屋
洋食屋,から
から,取
取,った
った,ビフテキ
ビフテキ,か
か,何
何,かを
かを,頬張
頬張,っていた
っていた,所
所,の
の,支配人
支配人,の
の,前
前,へ
へ,、
、,会計主任
会計主任,の
の,男
男,が
が,、
、,顔色
顔色,を
を,変
変,えて
えて,、
、,飛
飛,んで
んで,来
来,て
て,、
、,報告
報告,することには
することには,、「
、「,賃銀支払
賃銀支払,の
の,金
金,がなくなりました
がなくなりました,。
。,とられました
とられました,」
」,と
と,云
云,うのだ
うのだ,。
。,驚
驚,いた
いた,支配人
支配人,が
が,、
、,食事
食事,などはその
などはその,儘
儘,（
（,まま
まま,）
）,にして
にして,、
、,金
金,のなくなったと
のなくなったと,云
云,（
（,い
い,）
）,う
う,現場
現場,へ
へ,来
来,て
て,調
調,べて
べて,見
見,ると
ると,、
、,この
この,突然
突然,の
の,盗難
盗難,の
の,仔細
仔細,（
（,しさい
しさい,）
）,は
は,、
、,大体次
大体次,の
の,様
様,に
に,想像
想像,することが
することが,出来
出来,たのである
たのである,。
。,丁度其
丁度其,（
（,その
その,）
）,当時
当時,、
、,その
その,工場
工場,の
の,事務室
事務室,が
が,改築中
改築中,であったので
であったので,、
、,いつもなれば
いつもなれば,、
、,厳重
厳重,に
に,戸締
戸締,りの
りの,出来
出来,る
る,特別
特別,の
の,部屋
部屋,で
で,行
行,われる
われる,筈
筈,（
（,はず
はず,）
）,の
の,賃銀計算
賃銀計算,の
の,仕事
仕事,が
が,、
、,其日
其日,は
は,、
、,仮
仮,に
に,支配人室
支配人室,の
の,隣
隣,の
の,応接間
応接間,で
で,行
行,われたのであるが
われたのであるが,、
、,昼食
昼食,の
の,休憩時間
休憩時間,に
に,、
、,どうした
どうした,物
物,の
の,間違
間違,いか
いか,、
、,其応接間
其応接間,が
が,空
空,（
（,から
から,）
）,になって
になって,了
了,ったのである
ったのである,。
。,事務員達
事務員達,は
は,、
、,お
お,互
互,に
に,誰
誰,か
か,残
残,って
って,呉
呉,（
（,く
く,）
）,れるだろうという
れるだろうという,様
様,な
な,考
考,えで
えで,、
、,一人残
一人残,らず
らず,食堂
食堂,へ
へ,行
行,って
って,了
了,って
って,、
、,後
後,には
には,支那鞄
支那鞄,に
に,充満
充満,した
した,札束
札束,が
が,、
、,ドア
ドア,には
には,鍵
鍵,もかからないその
もかからないその,部屋
部屋,に
に,、
、,約半時間程
約半時間程,も
も,、
、,抛
抛,（
（,ほう
ほう,）
）,り
り,出
出,されてあったのだ
されてあったのだ,。
。,その
その,隙
隙,（
（,すき
すき,）
）,に
に,、
、,何者
何者,かが
かが,忍入
忍入,（
（,しのびい
しのびい,）
）,って
って,、
、,大金
大金,を
を,持去
持去,ったものに
ったものに,相違
相違,ない
ない,。
。,それも
それも,、
、,既
既,に
に,給料袋
給料袋,に
に,入
入,れられた
れられた,分
分,や
や,、
、,細
細,（
（,こまか
こまか,）
）,い
い,紙幣
紙幣,には
には,手
手,もつけないで
もつけないで,、
、,支那鞄
支那鞄,の
の,中
中,の
の,二十円札
二十円札,と
と,十円札
十円札,の
の,束丈
束丈,（
（,だ
だ,）
）,けを
けを,持去
持去,ったのである
ったのである,。
。,損害高
損害高,は
は,約五万円
約五万円,であった
であった,。
。,色
色,々
々,調
調,べて
べて,見
見,たが
たが,、
、,結局
結局,、
、,どうも
どうも,先程
先程,の
の,新聞記者
新聞記者,が
が,怪
怪,しいということになった
しいということになった,。
。,新聞社
新聞社,へ
へ,電話
電話,をかけて
をかけて,見
見,ると
ると,、
、,案
案,の
の,定
定,、
、,そういう
そういう,男
男,は
は,本社員
本社員,の
の,中
中,にはないという
にはないという,返事
返事,だ
だ,。
。,そこで
そこで,、
、,警察
警察,へ
へ,電話
電話,をかけるやら
をかけるやら,、
、,賃銀支払
賃銀支払,を
を,延
延,す
す,訳
訳,には
には,行
行,かぬので
かぬので,、
、,銀行
銀行,へ
へ,改
改,めて
めて,二十円札
二十円札,と
と,十円札
十円札,の
の,準備
準備,を
を,頼
頼,むやら
むやら,、
、,大変
大変,な
な,騒
騒,ぎになったのである
ぎになったのである,。
。,彼
彼,（
（,か
か,）
）,の
の,新聞記者
新聞記者,と
と,自称
自称,して
して,、
、,お
お,人
人,よしの
よしの,支配人
支配人,に
に,無駄
無駄,な
な,議論
議論,をさせた
をさせた,男
男,は
は,、
、,実
実,に
に,、
、,当時新聞
当時新聞,が
が,、
、,紳士盗賊
紳士盗賊,という
という,尊称
尊称,を
を,以
以,（
（,もっ
もっ,）
）,て
て,書
書,き
き,立
立,てた
てた,所
所,の
の,大泥坊
大泥坊,であったのだ
であったのだ,。
。,さて
さて,、
、,管轄警察署
管轄警察署,の
の,司法主任其他
司法主任其他,が
が,臨検
臨検,して
して,調
調,べて
べて,見
見,ると
ると,、
、,手懸
手懸,りというものが
りというものが,一
一,つもない
つもない,。
。,新聞社
新聞社,の
の,名刺
名刺,まで
まで,用意
用意,して
して,来
来,る
る,程
程,の
の,賊
賊,だから
だから,、
、,なかなか
なかなか,一筋繩
一筋繩,で
で,行
行,く
く,奴
奴,ではない
ではない,。
。,遺留品
遺留品,などあろう
などあろう,筈
筈,もない
もない,。
。,ただ
ただ,一
一,つ
つ,分
分,っていた
っていた,事
事,は
は,、
、,支配人
支配人,の
の,記憶
記憶,に
に,残
残,っているその
っているその,男
男,の
の,容貌風采
容貌風采,（
（,ふうさい
ふうさい,）
）,であるが
であるが,、
、,それが
それが,甚
甚,（
（,はなは
はなは,）
）,だ
だ,便
便,（
（,たよ
たよ,）
）,りないのである
りないのである,。
。,というのは
というのは,、
、,服装
服装,などは
などは,無論取替
無論取替,えることが
えることが,出来
出来,るし
るし,、
、,支配人
支配人,がこれこそ
がこれこそ,手懸
手懸,りだと
りだと,申出
申出,た
た,所
所,の
の,、
、,鼈甲縁
鼈甲縁,の
の,眼鏡
眼鏡,にしろ
にしろ,、
、,口髭
口髭,にしろ
にしろ,、
、,考
考,えて
えて,見
見,れば
れば,、
、,変装
変装,には
には,最
最,もよく
もよく,使
使,われる
われる,手段
手段,なのだから
なのだから,、
、,これも
これも,当
当,てにはならぬ
てにはならぬ,。
。,そこで
そこで,、
、,仕方
仕方,がないので
がないので,、
、,盲目探
盲目探,しに
しに,、
、,近所
近所,の
の,車夫
車夫,だとか
だとか,、
、,煙草屋
煙草屋,のお
のお,上
上,（
（,かみ
かみ,）
）,さんだとか
さんだとか,、
、,露天商人
露天商人,などいう
などいう,連中
連中,に
に,、
、,かくかくの
かくかくの,風采
風采,の
の,男
男,を
を,見
見,かけなかったか
かけなかったか,、
、,若
若,（
（,も
も,）
）,し
し,見
見,かけたらどの
かけたらどの,方角
方角,へ
へ,行
行,ったかと
ったかと,、
、,一
一,々
々,尋
尋,ね
ね,廻
廻,る
る,。
。,無論市内
無論市内,の
の,各巡査派出所
各巡査派出所,へも
へも,、
、,この
この,人相書
人相書,きが
きが,廻
廻,（
（,まわ
まわ,）
）,る
る,。
。,つまり
つまり,非常線
非常線,が
が,張
張,られた
られた,訳
訳,であるが
であるが,、
、,何
何,の
の,手
手,ごたえもない
ごたえもない,。
。,一日
一日,、
、,二日
二日,、
、,三日
三日,、
、,あらゆる
あらゆる,手段
手段,が
が,尽
尽,された
された,。
。,各停車場
各停車場,には
には,見張
見張,りがつけられた
りがつけられた,。
。,各府県
各府県,の
の,警察署
警察署,へ
へ,依頼
依頼,の
の,電報
電報,が
が,発
発,せられた
せられた,。
。,斯様
斯様,（
（,かよう
かよう,）
）,にして
にして,、
、,一週間
一週間,は
は,過
過,ぎたけれども
ぎたけれども,賊
賊,は
は,挙
挙,がらない
がらない,。
。,もう
もう,絶望
絶望,かと
かと,思
思,われた
われた,。
。,彼
彼,の
の,泥坊
泥坊,が
が,、
、,何
何,か
か,他
他,の
の,罪
罪,をでも
をでも,犯
犯,して
して,挙
挙,げられるのを
げられるのを,待
待,つより
つより,外
外,（
（,ほか
ほか,）
）,はないかと
はないかと,思
思,われた
われた,。
。,工場
工場,の
の,事務所
事務所,からは
からは,、
、,其筋
其筋,の
の,怠慢
怠慢,（
（,たいまん
たいまん,）
）,を
を,責
責,める
める,様
様,に
に,、
、,毎日毎日警察署
毎日毎日警察署,へ
へ,電話
電話,がかかった
がかかった,。
。,署長
署長,は
は,自分
自分,の
の,罪
罪,ででもある
ででもある,様
様,に
に,頭
頭,を
を,悩
悩,（
（,なやま
なやま,）
）,した
した,。
。,そうした
そうした,絶望状態
絶望状態,の
の,中
中,に
に,、
、,一人
一人,の
の,、
、,同
同,じ
じ,署
署,に
に,属
属,する
する,刑事
刑事,が
が,、
、,市内
市内,の
の,煙草屋
煙草屋,の
の,店
店,を
を,、
、,一軒
一軒,ずつ
ずつ,、
、,丹念
丹念,に
に,歩
歩,き
き,廻
廻,っていた
っていた,。
。,市内
市内,には
には,、
、,舶来
舶来,の
の,煙草
煙草,を
を,一通
一通,り
り,備付
備付,けていようという
けていようという,煙草屋
煙草屋,が
が,、
、,各区
各区,に
に,、
、,多
多,いのは
いのは,数十軒
数十軒,、
、,少
少,い
い,所
所,でも
でも,十軒内外
十軒内外,はあった
はあった,。
。,刑事
刑事,は
は,殆
殆,（
（,ほとん
ほとん,）
）,どそれを
どそれを,廻
廻,り
り,尽
尽,して
して,、
、,今
今,は
は,、
、,山
山,の
の,手
手,の
の,牛込
牛込,（
（,うしごめ
うしごめ,）
）,と
と,四谷
四谷,（
（,よつや
よつや,）
）,の
の,区内
区内,が
が,残
残,っているばかりであった
っているばかりであった,。
。,今日
今日,はこの
はこの,両区
両区,を
を,廻
廻,って
って,、
、,それで
それで,目的
目的,を
を,果
果,さなかったら
さなかったら,、
、,もう
もう,愈
愈,々（
々（,いよいよ
いよいよ,）
）,絶望
絶望,だと
だと,思
思,った
った,刑事
刑事,は
は,、
、,富鬮
富鬮,（
（,とみくじ
とみくじ,）
）,の
の,当
当,り
り,番号
番号,を
を,読
読,む
む,時
時,の
の,様
様,な
な,、
、,楽
楽,しみとも
しみとも,恐
恐,れともつかぬ
れともつかぬ,感情
感情,を
を,以
以,て
て,、
、,テクテク
テクテク,歩
歩,いていた
いていた,。
。,時
時,々
々,交番
交番,の
の,前
前,で
で,立止
立止,っては
っては,、
、,巡査
巡査,に
に,煙草店
煙草店,の
の,所在
所在,を
を,聞訊
聞訊,（
（,ききただ
ききただ,）
）,しながら
しながら,、
、,テクテク
テクテク,と
と,歩
歩,いていた
いていた,。
。,刑事
刑事,の
の,頭
頭,の
の,中
中,はと
はと,埃及煙草
埃及煙草,の
の,名前
名前,で
で,一杯
一杯,になっていた
になっていた,。
。,ところが
ところが,、
、,牛込
牛込,の
の,神楽坂
神楽坂,（
（,かぐらざか
かぐらざか,）
）,に
に,一軒
一軒,ある
ある,煙草店
煙草店,を
を,尋
尋,ねる
ねる,積
積,りで
りで,、
、,飯田橋
飯田橋,（
（,いいだばし
いいだばし,）
）,の
の,電車停留所
電車停留所,から
から,神楽坂下
神楽坂下,へ
へ,向
向,って
って,、
、,あの
あの,大通
大通,りを
りを,歩
歩,いている
いている,時
時,であった
であった,。
。,刑事
刑事,は
は,、
、,一軒
一軒,の
の,旅館
旅館,の
の,前
前,で
で,、
、,フト
フト,立止
立止,ったのである
ったのである,。
。,というのは
というのは,、
、,その
その,旅館
旅館,の
の,前
前,の
の,、
、,下水
下水,の
の,蓋
蓋,を
を,兼
兼,ねた
ねた,、
、,御影石
御影石,（
（,みかげいし
みかげいし,）
）,の
の,敷石
敷石,の
の,上
上,に
に,、
、,余程注意深
余程注意深,い
い,人
人,でなければ
でなければ,、
、,眼
眼,にとまらない
にとまらない,様
様,な
な,、
、,一
一,つの
つの,煙草
煙草,の
の,吸殻
吸殻,が
が,落
落,ちていた
ちていた,。
。,そして
そして,、
、,何
何,（
（,な
な,）
）,んと
んと,、
、,それが
それが,刑事
刑事,の
の,探
探,し
し,廻
廻,っていた
っていた,所
所,の
の,埃及煙草
埃及煙草,と
と,同
同,じものであったのである
じものであったのである,。
。,さて
さて,、
、,この
この,一
一,つの
つの,煙草
煙草,の
の,吸殻
吸殻,から
から,足
足,がついて
がついて,、
、,さしもの
さしもの,紳士盗賊
紳士盗賊,も
も,遂
遂,に
に,獄裡
獄裡,（
（,ごくり
ごくり,）
）,の
の,人
人,（
（,ひと
ひと,）
）,となったのであるが
となったのであるが,、
、,その
その,煙草
煙草,の
の,吸殻
吸殻,から
から,盗賊逮捕
盗賊逮捕,までの
までの,径路
径路,に
に,一寸探偵小説
一寸探偵小説,じみた
じみた,興味
興味,があるので
があるので,、
、,当時
当時,のある
のある,新聞
新聞,には
には,、
、,続
続,き
き,物
物,になって
になって,、
、,その
その,時
時,の
の,何某
何某,（
（,なにがし
なにがし,）
）,刑事
刑事,の
の,手柄話
手柄話,が
が,載
載,せられた
せられた,程
程,であるが
であるが,——
——,この
この,私
私,の
の,記述
記述,も
も,、
、,実
実,はその
はその,新聞記事
新聞記事,に
に,拠
拠,（
（,よ
よ,）
）,ったものである
ったものである,——
——,私
私,は
は,茲
茲,（
（,ここ
ここ,）
）,には
には,、
、,先
先,を
を,急
急,ぐ
ぐ,為
為,に
に,、
、,極
極,（
（,ご
ご,）
）,く
く,簡単
簡単,に
に,結論丈
結論丈,けしかお
けしかお,話
話,している
している,暇
暇,がないことを
がないことを,遺憾
遺憾,（
（,いかん
いかん,）
）,に
に,思
思,う
う,。
。,読者
読者,も
も,想像
想像,されたであろう
されたであろう,様
様,に
に,、
、,この
この,感心
感心,な
な,刑事
刑事,は
は,、
、,盗賊
盗賊,が
が,工場
工場,の
の,支配人
支配人,の
の,部屋
部屋,に
に,残
残,して
して,行
行,った
った,所
所,の
の,、
、,珍
珍,らしい
らしい,煙草
煙草,の
の,吸殻
吸殻,から
から,探偵
探偵,の
の,歩
歩,を
を,進
進,めたのである
めたのである,。
。,そして
そして,、
、,各区
各区,の
の,大
大,きな
きな,煙草屋
煙草屋,を
を,殆
殆,んど
んど,廻
廻,り
り,尽
尽,したが
したが,、
、,仮令
仮令,（
（,たとい
たとい,）
）,おなじ
おなじ,煙草
煙草,を
を,備
備,えてあっても
えてあっても,、
、,埃及
埃及,の
の,中
中,でも
でも,比較的売行
比較的売行,きのよくない
きのよくない,、
、,を
を,最近
最近,に
に,売
売,ったという
ったという,店
店,は
は,極
極,く
く,僅
僅,かで
かで,、
、,それが
それが,悉
悉,（
（,ことごと
ことごと,）
）,く
く,、
、,どこの
どこの,誰
誰,それと
それと,疑
疑,うまでもない
うまでもない,様
様,な
な,買手
買手,に
に,売
売,られていたのである
られていたのである,。
。,ところが
ところが,愈
愈,々
々,最終
最終,という
という,日
日,になって
になって,、
、,今
今,もお
もお,話
話,した
した,様
様,に
に,、
、,偶然
偶然,にも
にも,、
、,飯田橋附近
飯田橋附近,の
の,一軒
一軒,の
の,旅館
旅館,の
の,前
前,で
で,、
、,同
同,じ
じ,吸殻
吸殻,を
を,発見
発見,して
して,、
、,実
実,は
は,、
、,あてずっぽうに
あてずっぽうに,、
、,その
その,旅館
旅館,に
に,探
探,りを
りを,入
入,れて
れて,見
見,たのであるが
たのであるが,、
、,それがなんと
それがなんと,僥倖
僥倖,（
（,ぎょうこう
ぎょうこう,）
）,にも
にも,、
、,犯人逮捕
犯人逮捕,の
の,端緒
端緒,（
（,たんちょ
たんちょ,）
）,となったのである
となったのである,。
。,そこで
そこで,、
、,色
色,々、
々、,苦心
苦心,の
の,末
末,、
、,例
例,えば
えば,、
、,その
その,旅館
旅館,に
に,投宿
投宿,して
して,居
居,った
った,、
、,その
その,煙草
煙草,の
の,持主
持主,が
が,、
、,工場
工場,の
の,支配人
支配人,から
から,聞
聞,いた
いた,人相
人相,とはまるで
とはまるで,違
違,っていたり
っていたり,、
、,なにかして
なにかして,、
、,大分苦心
大分苦心,したのであるが
したのであるが,、
、,結局
結局,、
、,その
その,男
男,の
の,部屋
部屋,の
の,火鉢
火鉢,（
（,ひばち
ひばち,）
）,の
の,底
底,から
から,、
、,犯行
犯行,に
に,用
用,いた
いた,モ
モ,ー
ー,ニング
ニング,其他
其他,の
の,服装
服装,だとか
だとか,、
、,鼈甲縁
鼈甲縁,の
の,眼鏡
眼鏡,だとか
だとか,、
、,つけ
つけ,髭
髭,だとかを
だとかを,発見
発見,して
して,、
、,逃
逃,れぬ
れぬ,証拠
証拠,によって
によって,、
、,所謂
所謂,（
（,いわゆる
いわゆる,）
）,紳士泥坊
紳士泥坊,を
を,逮捕
逮捕,することが
することが,出来
出来,たのである
たのである,。
。,で
で,、
、,その
その,泥坊
泥坊,が
が,取調
取調,べを
べを,受
受,けて
けて,白状
白状,した
した,所
所,によると
によると,、
、,犯行
犯行,の
の,当日
当日,——
——,勿論
勿論,、
、,その
その,日
日,は
は,職工
職工,の
の,給料日
給料日,と
と,知
知,って
って,訪問
訪問,したのだが
したのだが,——
——,支配人
支配人,の
の,留守
留守,の
の,間
間,に
に,、
、,隣
隣,の
の,計算室
計算室,に
に,這入
這入,（
（,はい
はい,）
）,って
って,例
例,の
の,金
金,を
を,取
取,ると
ると,、
、,折鞄
折鞄,の
の,中
中,にただそれ
にただそれ,丈
丈,けを
けを,入
入,れて
れて,居
居,った
った,所
所,の
の,、
、,レ
レ,ー
ー,ンコ
ンコ,ー
ー,ト
ト,と
と,ハンチング
ハンチング,を
を,取出
取出,して
して,、
、,その
その,代
代,りに
りに,、
、,鞄
鞄,の
の,中
中,へは
へは,、
、,盗
盗,んだ
んだ,紙幣
紙幣,（
（,さつ
さつ,）
）,の
の,一部分
一部分,を
を,入
入,れて
れて,、
、,眼鏡
眼鏡,をはずし
をはずし,、
、,口髭
口髭,をとり
をとり,、
、,レ
レ,ー
ー,ンコ
ンコ,ー
ー,ト
ト,で
で,モ
モ,ー
ー,ニング
ニング,姿
姿,を
を,包
包,み
み,、
、,中折
中折,の
の,代
代,りに
りに,ハンチング
ハンチング,を
を,冠
冠,って
って,、
、,来
来,た
た,時
時,とは
とは,別
別,の
の,出口
出口,から
から,、
、,何食
何食,わぬ
わぬ,顔
顔,をして
をして,逃
逃,げ
げ,出
出,したのであった
したのであった,。
。,あの
あの,小額
小額,の
の,紙幣
紙幣,で
で,五万円
五万円,という
という,金額
金額,を
を,、
、,どうして
どうして,、
、,誰
誰,にも
にも,疑
疑,われぬ
われぬ,様
様,に
に,、
、,持出
持出,すことが
すことが,出来
出来,たかという
たかという,訊問
訊問,に
に,対
対,して
して,、
、,紳士泥坊
紳士泥坊,が
が,、
、,ニヤリ
ニヤリ,と
と,得意
得意,らしい
らしい,笑
笑,いを
いを,浮
浮,べて
べて,答
答,えたことには
えたことには,、「
、「,私共
私共,は
は,、
、,からだ
からだ,中
中,が
が,袋
袋,で
で,出来上
出来上,っています
っています,。
。,その
その,証拠
証拠,には
には,、
、,押収
押収,された
された,モ
モ,ー
ー,ニング
ニング,を
を,調
調,べて
べて,御覧
御覧,なさい
なさい,。
。,一寸見
一寸見,ると
ると,普通
普通,の
の,モ
モ,ー
ー,ニング
ニング,だが
だが,、
、,実
実,は
は,手品使
手品使,いの
いの,服
服,の
の,様
様,に
に,、
、,附
附,けられる
けられる,丈
丈,けの
けの,隠
隠,し
し,袋
袋,が
が,附
附,いているんです
いているんです,。
。,五万円位
五万円位,の
の,金
金,を
を,隠
隠,すのは
すのは,訳
訳,はありません
はありません,。
。,支那人
支那人,の
の,手品使
手品使,いは
いは,、
、,大
大,きな
きな,、
、,水
水,の
の,這入
這入,った
った,丼鉢
丼鉢,（
（,どんぶりばち
どんぶりばち,）
）,でさえからだの
でさえからだの,中
中,へ
へ,隠
隠,すではありませんか
すではありませんか,」
」,さて
さて,、
、,この
この,泥坊事件
泥坊事件,がこれ
がこれ,丈
丈,けでおしまいなら
けでおしまいなら,、
、,別段
別段,の
の,興味
興味,もないのであるが
もないのであるが,、
、,茲
茲,に
に,一
一,つ
つ,普通
普通,の
の,泥坊
泥坊,と
と,違
違,った
った,、
、,妙
妙,な
な,点
点,があった
があった,。
。,そして
そして,、
、,それが
それが,私
私,のお
のお,話
話,の
の,本筋
本筋,に
に,、
、,大
