一,親譲
ってみせると,受
受,け
け,合
合,った
った,。
。,そんなら
そんなら,君
君,の
の,指
指,を
を,切
切,ってみろと
ってみろと,注文
注文,したから
したから,、
、,何
何,だ
だ,指
指,ぐらいこの
ぐらいこの,通
通,りだと
りだと,右
右,の
の,手
手,の
の,親指
親指,の
の,甲
甲,（
（,こう
こう,）
）,をはすに
をはすに,切
切,り
り,込
込,（
（,こ
こ,）
）,んだ
んだ,。
。,幸
幸,（
（,さいわい
さいわい,）
）,ナイフ
ナイフ,が
が,小
小,さいのと
さいのと,、
、,親指
親指,の
の,骨
骨,が
が,堅
堅,（
（,かた
かた,）
）,かったので
かったので,、
、,今
今,だに
だに,親指
親指,は
は,手
手,に
に,付
付,いている
いている,。
。,しかし
しかし,創痕
創痕,（
（,きずあと
きずあと,）
）,は
は,死
死,ぬまで
ぬまで,消
消,えぬ
えぬ,。
。,庭
庭,を
を,東
東,へ
へ,二十歩
二十歩,に
に,行
行,き
き,尽
尽,（
（,つく
つく,）
）,すと
すと,、
、,南上
南上,がりにいささかばかりの
がりにいささかばかりの,菜園
菜園,があって
があって,、
、,真中
真中,（
（,まんなか
まんなか,）
）,に
に,栗
栗,（
（,くり
くり,）
）,の
の,木
木,が
が,一本立
一本立,っている
っている,。
。,これは
これは,命
命,より
より,大事
大事,な
な,栗
栗,だ
だ,。
。,実
実,の
の,熟
熟,する
する,時分
時分,は
は,起
起,き
き,抜
抜,けに
けに,背戸
背戸,（
（,せど
せど,）
）,を
を,出
出,て
て,落
落,ちた
ちた,奴
奴,を
を,拾
拾,ってきて
ってきて,、
、,学校
学校,で
で,食
食,う
う,。
。,菜園
菜園,の
の,西側
西側,が
が,山城屋
山城屋,（
（,やましろや
やましろや,）
）,という
という,質屋
質屋,の
の,庭続
庭続,きで
きで,、
、,この
この,質屋
質屋,に
に,勘太郎
勘太郎,（
（,かんたろう
かんたろう,）
）,という
という,十三四
十三四,の
の,倅
倅,（
（,せがれ
せがれ,）
）,が
が,居
居,た
た,。
。,勘太郎
勘太郎,は
は,無論弱虫
無論弱虫,である
である,。
。,弱虫
弱虫,の
の,癖
癖,（
（,くせ
くせ,）
）,に
に,四
四,つ
つ,目垣
目垣,を
を,乗
乗,りこえて
りこえて,、
、,栗
栗,を
を,盗
盗,（
（,ぬす
ぬす,）
）,みにくる
みにくる,。
。,ある
ある,日
日,の
の,夕方折戸
夕方折戸,（
（,おりど
おりど,）
）,の
の,蔭
蔭,（
（,かげ
かげ,）
）,に
に,隠
隠,（
（,かく
かく,）
）,れて
れて,、
、,とうとう
とうとう,勘太郎
勘太郎,を
を,捕
捕,（
（,つら
つら,）
）,まえてやった
まえてやった,。
。,その
その,時勘太郎
時勘太郎,は
は,逃
逃,（
（,に
に,）
）,げ
げ,路
路,（
（,みち
みち,）
）,を
を,失
失,って
って,、
、,一生懸命
一生懸命,（
（,いっしょうけんめい
いっしょうけんめい,）
）,に
に,飛
飛,びかかってきた
びかかってきた,。
。,向
向,（
（,むこ
むこ,）
）,うは
うは,二
二,つばかり
つばかり,年上
年上,である
である,。
。,弱虫
弱虫,だが
だが,力
力,は
は,強
強,い
い,。
。,鉢
鉢,（
（,はち
はち,）
）,の
の,開
開,いた
いた,頭
頭,を
を,、
、,こっちの
こっちの,胸
胸,へ
へ,宛
宛,（
（,あ
あ,）
）,ててぐいぐい
ててぐいぐい,押
押,（
（,お
お,）
）,した
した,拍子
拍子,（
（,ひょうし
ひょうし,）
）,に
に,、
、,勘太郎
勘太郎,の
の,頭
頭,がすべって
がすべって,、
、,おれの
おれの,袷
袷,（
（,あわせ
あわせ,）
）,の
の,袖
袖,（
（,そで
そで,）
）,の
の,中
中,にはいった
にはいった,。
。,邪魔
邪魔,（
（,じゃま
じゃま,）
）,になって
になって,手
手,が
が,使
使,えぬから
えぬから,、
、,無暗
無暗,に
に,手
手,を
を,振
振,（
（,ふ
ふ,）
）,ったら
ったら,、
、,袖
袖,の
の,中
中,にある
にある,勘太郎
勘太郎,の
の,頭
頭,が
が,、
、,右左
右左,へぐらぐら
へぐらぐら,靡
靡,（
（,なび
なび,）
）,いた
いた,。
。,しまいに
しまいに,苦
苦,しがって
しがって,袖
袖,の
の,中
中,から
から,、
、,おれの
おれの,二
二,の
の,腕
腕,（
（,うで
うで,）
）,へ
へ,食
食,い
い,付
付,いた
いた,。
。,痛
痛,かったから
かったから,勘太郎
勘太郎,を
を,垣根
垣根,へ
へ,押
押,しつけておいて
しつけておいて,、
、,足搦
足搦,（
（,あしがら
あしがら,）
）,をかけて
をかけて,向
向,うへ
うへ,倒
倒,（
（,たお
たお,）
）,してやった
してやった,。
。,山城屋
山城屋,の
の,地面
地面,は
は,菜園
菜園,より
より,六尺
六尺,がた
がた,低
低,い
い,。
。,勘太郎
勘太郎,は
は,四
四,つ
つ,目垣
目垣,を
を,半分崩
半分崩,（
（,くず
くず,）
）,して
して,、
、,自分
自分,の
の,領分
領分,へ
へ,真逆様
真逆様,（
（,まっさかさま
まっさかさま,）
）,に
に,落
落,ちて
ちて,、
、,ぐうと
ぐうと,云
云,った
った,。
。,勘太郎
勘太郎,が
が,落
落,ちるときに
ちるときに,、
、,おれの
おれの,袷
袷,の
の,片袖
片袖,がもげて
がもげて,、
、,急
急,に
に,手
手,が
が,自由
自由,になった
になった,。
。,その
その,晩母
晩母,が
が,山城屋
山城屋,に
に,詫
詫,（
（,わ
わ,）
）,びに
びに,行
行,ったついでに
ったついでに,袷
袷,の
の,片袖
片袖,も
も,取
取,り
り,返
返,して
して,来
来,た
た,。
。,この
この,外
外,いたずらは
いたずらは,大分
大分,やった
やった,。
。,大工
大工,の
の,兼公
兼公,（
（,かねこう
かねこう,）
）,と
と,肴屋
肴屋,（
（,さかなや
さかなや,）
）,の
の,角
角,（
（,かく
かく,）
）,をつれて
をつれて,、
、,茂作
茂作,（
（,もさく
もさく,）
）,の
の,人参畠
人参畠,（
（,にんじんばたけ
にんじんばたけ,）
）,をあらした
をあらした,事
事,がある
がある,。
。,人参
人参,の
の,芽
芽,が
が,出揃
出揃,（
（,でそろ
でそろ,）
）,わぬ
わぬ,処
処,（
（,ところ
ところ,）
）,へ
へ,藁
藁,（
（,わら
わら,）
）,が
が,一面
一面,に
に,敷
敷,（
（,し
し,）
）,いてあったから
いてあったから,、
、,その
その,上
上,で
で,三人
三人,が
が,半日相撲
半日相撲,（
（,すもう
すもう,）
）,をとりつづけに
をとりつづけに,取
取,ったら
ったら,、
、,人参
人参,がみんな
がみんな,踏
踏,（
（,ふ
ふ,）
）,みつぶされてしまった
みつぶされてしまった,。
。,古川
古川,（
（,ふるかわ
ふるかわ,）
）,の
の,持
持,っている
っている,田圃
田圃,（
（,たんぼ
たんぼ,）
）,の
の,井戸
井戸,（
（,いど
いど,）
）,を
を,埋
埋,（
（,う
う,）
）,めて
めて,尻
尻,（
（,しり
しり,）
）,を
を,持
持,ち
ち,込
込,まれた
まれた,事
事,もある
もある,。
。,太
太,い
い,孟宗
孟宗,（
（,もうそう
もうそう,）
）,の
の,節
節,を
を,抜
抜,いて
いて,、
、,深
深,く
く,埋
埋,めた
めた,中
中,から
から,水
水,が
が,湧
湧,（
（,わ
わ,）
）,き
き,出
出,て
て,、
、,そこいらの
そこいらの,稲
稲,（
（,いね
いね,）
）,にみずがかかる
にみずがかかる,仕掛
仕掛,（
（,しかけ
しかけ,）
）,であった
であった,。
。,その
その,時分
時分,はどんな
はどんな,仕掛
仕掛,か
か,知
知,らぬから
らぬから,、
、,石
石,や
や,棒
棒,（
（,ぼう
ぼう,）
）,ちぎれをぎゅうぎゅう
ちぎれをぎゅうぎゅう,井戸
井戸,の
の,中
中,へ
へ,挿
挿,（
（,さ
さ,）
）,し
し,込
込,んで
んで,、
、,水
水,が
が,出
出,なくなったのを
なくなったのを,見届
見届,けて
けて,、
、,うちへ
うちへ,帰
帰,って
って,飯
飯,を
を,食
食,っていたら
っていたら,、
、,古川
古川,が
が,真赤
真赤,（
（,まっか
まっか,）
）,になって
になって,怒鳴
怒鳴,（
（,どな
どな,）
）,り
り,込
込,んで
んで,来
来,た
た,。
。,たしか
たしか,罰金
罰金,（
（,ばっきん
ばっきん,）
）,を
を,出
出,して
して,済
済,んだようである
んだようである,。
。,おやじはちっともおれを
おやじはちっともおれを,可愛
可愛,（
（,かわい
かわい,）
）,がってくれなかった
がってくれなかった,。
。,母
母,は
は,兄
兄,ばかり
ばかり,贔屓
贔屓,（
（,ひいき
ひいき,）
）,にしていた
にしていた,。
。,この
この,兄
兄,はやに
はやに,色
色,が
が,白
白,くって
くって,、
、,芝居
芝居,（
（,しばい
しばい,）
）,の
の,真似
真似,（
（,まね
まね,）
）,をして
をして,女形
女形,（
（,おんながた
おんながた,）
）,になるのが
になるのが,好
好,きだった
きだった,。
。,おれを
おれを,見
見,る
る,度
度,にこいつはどうせ
にこいつはどうせ,碌
碌,（
（,ろく
ろく,）
）,なものにはならないと
なものにはならないと,、
、,おやじが
おやじが,云
云,った
った,。
。,乱暴
乱暴,で
で,乱暴
乱暴,で
で,行
行,く
く,先
先,が
が,案
案,じられると
じられると,母
母,が
が,云
云,った
った,。
。,なるほど
なるほど,碌
碌,なものにはならない
なものにはならない,。
。,ご
ご,覧
覧,の
の,通
通,りの
りの,始末
始末,である
である,。
。,行
行,く
く,先
先,が
が,案
案,じられたのも
じられたのも,無理
無理,はない
はない,。
。,ただ
ただ,懲役
懲役,（
（,ちょうえき
ちょうえき,）
）,に
に,行
行,かないで
かないで,生
生,きているばかりである
きているばかりである,。
。,母
母,が
が,病気
病気,で
で,死
死,ぬ
ぬ,二三日
二三日,（
（,にさんち
にさんち,）
）,前台所
前台所,で
で,宙返
宙返,りをしてへっついの
りをしてへっついの,角
角,で
で,肋骨
肋骨,（
（,あばらぼね
あばらぼね,）
）,を
を,撲
撲,（
（,う
う,）
）,って
って,大
大,いに
いに,痛
痛,かった
かった,。
。,母
母,が
が,大層怒
大層怒,（
（,おこ
おこ,）
）,って
って,、
、,お
お,前
前,のようなものの
のようなものの,顔
顔,は
は,見
見,たくないと
たくないと,云
云,うから
うから,、
、,親類
親類,へ
へ,泊
泊,（
（,とま
とま,）
）,りに
りに,行
行,っていた
っていた,。
。,するととうとう
するととうとう,死
死,んだと
んだと,云
云,う
う,報知
報知,（
（,しらせ
しらせ,）
）,が
が,来
来,た
た,。
。,そう
そう,早
早,く
く,死
死,ぬとは
ぬとは,思
思,わなかった
わなかった,。
。,そんな
そんな,大病
大病,なら
なら,、
、,もう
もう,少
少,し
し,大人
大人,（
（,おとな
おとな,）
）,しくすればよかったと
しくすればよかったと,思
思,って
って,帰
帰,って
って,来
来,た
た,。
。,そうしたら
そうしたら,例
例,の
の,兄
兄,がおれを
がおれを,親不孝
親不孝,だ
だ,、
、,おれのために
おれのために,、
、,おっかさんが
おっかさんが,早
早,く
く,死
死,んだんだと
んだんだと,云
云,った
った,。
。,口惜
口惜,（
（,くや
くや,）
）,しかったから
しかったから,、
、,兄
兄,の
の,横
横,っ
っ,面
面,を
を,張
張,って
って,大変叱
大変叱,（
（,しか
しか,）
）,られた
られた,。
。,母
母,が
が,死
死,んでからは
んでからは,、
、,おやじと
おやじと,兄
兄,と
と,三人
三人,で
で,暮
暮,（
（,くら
くら,）
）,していた
していた,。
。,おやじは
おやじは,何
何,にもせぬ
にもせぬ,男
男,で
で,、
、,人
人,の
の,顔
顔,さえ
さえ,見
見,れば
れば,貴様
貴様,は
は,駄目
駄目,（
（,だめ
だめ,）
）,だ
だ,駄目
駄目,だと
だと,口癖
口癖,のように
のように,云
云,っていた
っていた,。
。,何
何,が
が,駄目
駄目,なんだか
なんだか,今
今,に
に,分
分,らない
らない,。
。,妙
妙,（
（,みょう
みょう,）
）,なおやじがあったもんだ
なおやじがあったもんだ,。
。,兄
兄,は
は,実業家
実業家,になるとか
になるとか,云
云,ってしきりに
ってしきりに,英語
英語,を
を,勉強
勉強,していた
していた,。
。,元来女
元来女,のような
のような,性分
性分,で
で,、
、,ずるいから
ずるいから,、
、,仲
仲,がよくなかった
がよくなかった,。
。,十日
十日,に
に,一遍
一遍,（
（,いっぺん
いっぺん,）
）,ぐらいの
ぐらいの,割
割,で
で,喧嘩
喧嘩,（
（,けんか
けんか,）
）,をしていた
をしていた,。
。,ある
ある,時将棋
時将棋,（
（,しょうぎ
しょうぎ,）
）,をさしたら
をさしたら,卑怯
卑怯,（
（,ひきょう
ひきょう,）
）,な
な,待駒
待駒,（
（,まちごま
まちごま,）
）,をして
をして,、
、,人
人,が
が,困
困,ると
ると,嬉
嬉,（
（,うれ
うれ,）
）,しそうに
しそうに,冷
冷,やかした
やかした,。
。,あんまり
あんまり,腹
腹,が
が,立
立,ったから
ったから,、
、,手
手,に
に,在
在,った
った,飛車
飛車,を
を,眉間
眉間,（
（,みけん
みけん,）
）,へ
へ,擲
擲,（
（,たた
たた,）
）,きつけてやった
きつけてやった,。
。,眉間
眉間,が
が,割
割,れて
れて,少
少,々
々,血
血,が
が,出
出,た
た,。
。,兄
兄,がおやじに
がおやじに,言付
言付,（
（,いつ
いつ,）
）,けた
けた,。
。,おやじがおれを
おやじがおれを,勘当
勘当,（
（,かんどう
かんどう,）
）,すると
すると,言
言,い
い,出
出,した
した,。
。,その
その,時
時,はもう
はもう,仕方
仕方,がないと
がないと,観念
観念,して
して,先方
先方,の
の,云
云,う
う,通
通,り
り,勘当
勘当,されるつもりでいたら
されるつもりでいたら,、
、,十年来召
十年来召,し
し,使
使,っている
っている,清
清,（
（,きよ
きよ,）
）,という
という,下女
下女,が
が,、
、,泣
泣,きながらおやじに
きながらおやじに,詫
詫,（
（,あや
あや,）
）,まって
まって,、
、,ようやくおやじの
ようやくおやじの,怒
怒,（
（,いか
いか,）
）,りが
りが,解
解,けた
けた,。
。,それにもかかわらずあまりおやじを
それにもかかわらずあまりおやじを,怖
怖,（
（,こわ
こわ,）
）,いとは
いとは,思
思,わなかった
わなかった,。
。,かえってこの
かえってこの,清
清,と
と,云
云,う
う,下女
下女,に
に,気
気,の
の,毒
毒,であった
であった,。
。,この
この,下女
下女,はもと
はもと,由緒
由緒,（
（,ゆいしょ
ゆいしょ,）
）,のあるものだったそうだが
のあるものだったそうだが,、
、,瓦解
瓦解,（
（,がかい
がかい,）
）,のときに
のときに,零落
零落,（
（,れいらく
れいらく,）
）,して
して,、
、,つい
つい,奉公
奉公,（
（,ほうこう
ほうこう,）
）,までするようになったのだと
までするようになったのだと,聞
聞,いている
いている,。
。,だから
だから,婆
婆,（
（,ばあ
ばあ,）
）,さんである
さんである,。
。,この
この,婆
婆,さんがどういう
さんがどういう,因縁
因縁,（
（,いんえん
いんえん,）
）,か
か,、
、,おれを
おれを,非常
非常,に
に,可愛
可愛,がってくれた
がってくれた,。
。,不思議
不思議,なものである
なものである,。
。,母
母,も
も,死
死,ぬ
ぬ,三日前
三日前,に
に,愛想
愛想,（
（,あいそ
あいそ,）
）,をつかした
をつかした,——
——,おやじも
おやじも,年中持
年中持,て
て,余
余,している
している,——
——,町内
町内,では
では,乱暴者
乱暴者,の
の,悪太郎
悪太郎,と
と,爪弾
爪弾,（
（,つまはじ
つまはじ,）
）,きをする
きをする,——
——,このおれを
このおれを,無暗
無暗,に
に,珍重
珍重,（
（,ちんちょう
ちんちょう,）
）,してくれた
してくれた,。
。,おれは
おれは,到底
到底,（
（,とうてい
とうてい,）
）,人
人,に
に,好
好,かれる
かれる,性
性,（
（,たち
たち,）
）,でないとあきらめていたから
でないとあきらめていたから,、
、,他人
他人,から
から,木
木,の
の,端
端,（
（,はし
はし,）
）,のように
のように,取
取,り
り,扱
扱,（
（,あつか
あつか,）
）,われるのは
われるのは,何
何,とも
とも,思
思,わない
わない,、
、,かえってこの
かえってこの,清
清,のようにちやほやしてくれるのを
のようにちやほやしてくれるのを,不審
不審,（
（,ふしん
ふしん,）
）,に
に,考
考,えた
えた,。
。,清
清,は
は,時
時,々
々,台所
台所,で
で,人
人,の
の,居
居,ない
ない,時
時,に
に,「
「,あなたは
あなたは,真
真,（
（,ま
ま,）
）,っ
っ,直
直,（
（,すぐ
すぐ,）
）,でよいご
でよいご,気性
気性,だ
だ,」
」,と
と,賞
賞,（
（,ほ
ほ,）
）,める
める,事
事,が
が,時
時,々
々,あった
あった,。
。,しかしおれには
しかしおれには,清
清,の
の,云
云,う
う,意味
意味,が
が,分
分,からなかった
からなかった,。
。,好
好,（
（,い
い,）
）,い
い,気性
気性,なら
なら,清以外
清以外,のものも
のものも,、
、,もう
もう,少
少,し
し,善
善,くしてくれるだろうと
くしてくれるだろうと,思
思,った
った,。
。,清
清,がこんな
がこんな,事
事,を
を,云
云,う
う,度
度,におれはお
におれはお,世辞
世辞,は
は,嫌
嫌,（
（,きら
きら,）
）,いだと
いだと,答
答,えるのが
えるのが,常
常,であった
であった,。
。,すると
すると,婆
婆,さんはそれだから
さんはそれだから,好
好,いご
いご,気性
気性,ですと
ですと,云
云,っては
っては,、
、,嬉
嬉,しそうにおれの
しそうにおれの,顔
顔,を
を,眺
眺,（
（,なが
なが,）
）,めている
めている,。
。,自分
自分,の
の,力
力,でおれを
でおれを,製造
製造,して
して,誇
誇,（
（,ほこ
ほこ,）
）,ってるように
ってるように,見
見,える
える,。
。,少
少,々
々,気味
気味,がわるかった
がわるかった,。
。,母
母,が
が,死
死,んでから
んでから,清
清,はいよいよおれを
はいよいよおれを,可愛
可愛,がった
がった,。
。,時
時,々
々,は
は,小供心
小供心,になぜあんなに
になぜあんなに,可愛
可愛,がるのかと
がるのかと,不審
不審,に
に,思
思,った
った,。
。,つまらない
つまらない,、
、,廃
廃,（
（,よ
よ,）
）,せばいいのにと
せばいいのにと,思
思,った
った,。
。,気
気,の
の,毒
毒,だと
だと,思
思,った
った,。
。,それでも
それでも,清
清,は
は,可愛
可愛,がる
がる,。
。,折
折,々
々,は
は,自分
自分,の
の,小遣
小遣,（
（,こづか
こづか,）
）,いで
いで,金鍔
金鍔,（
（,きんつば
きんつば,）
）,や
や,紅梅焼
紅梅焼,（
（,こうばいやき
こうばいやき,）
）,を
を,買
買,ってくれる
ってくれる,。
。,寒
寒,い
い,夜
夜,などはひそかに
などはひそかに,蕎麦粉
蕎麦粉,（
（,そばこ
そばこ,）
）,を
を,仕入
仕入,れておいて
れておいて,、
、,いつの
いつの,間
間,にか
にか,寝
寝,（
（,ね
ね,）
）,ている
ている,枕元
枕元,（
（,まくらもと
まくらもと,）
）,へ
へ,蕎麦湯
蕎麦湯,を
を,持
持,って
って,来
来,てくれる
てくれる,。
。,時
時,には
には,鍋焼饂飩
鍋焼饂飩,（
（,なべやきうどん
なべやきうどん,）
）,さえ
さえ,買
買,ってくれた
ってくれた,。
。,ただ
ただ,食
食,い
い,物
物,ばかりではない
ばかりではない,。
。,靴足袋
靴足袋,（
（,くつたび
くつたび,）
）,ももらった
ももらった,。
。,鉛筆
鉛筆,（
（,えんぴつ
えんぴつ,）
）,も
も,貰
貰,った
った,、
、,帳面
帳面,も
も,貰
貰,った
った,。
。,これはずっと
これはずっと,後
後,の
の,事
事,であるが
であるが,金
金,を
を,三円
三円,ばかり
ばかり,貸
貸,してくれた
してくれた,事
事,さえある
さえある,。
。,何
何,も
も,貸
貸,せと
せと,云
云,った
った,訳
訳,ではない
ではない,。
。,向
向,うで
うで,部屋
部屋,へ
へ,持
持,って
って,来
来,てお
てお,小遣
小遣,いがなくてお
いがなくてお,困
困,りでしょう
りでしょう,、
、,お
お,使
使,いなさいと
いなさいと,云
云,ってくれたんだ
ってくれたんだ,。
。,おれは
おれは,無論入
無論入,らないと
らないと,云
云,ったが
ったが,、
、,是非使
是非使,えと
えと,云
云,うから
うから,、
、,借
借,りておいた
りておいた,。
。,実
実,は
は,大変嬉
大変嬉,しかった
しかった,。
。,その
その,三円
三円,を
を,蝦蟇口
蝦蟇口,（
（,がまぐち
がまぐち,）
）,へ
へ,入
入,れて
れて,、
、,懐
懐,（
（,ふところ
ふところ,）
）,へ
へ,入
入,れたなり
れたなり,便所
便所,へ
へ,行
行,ったら
ったら,、
、,すぽりと
すぽりと,後架
後架,（
（,こうか
こうか,）
）,の
の,中
中,へ
へ,落
落,（
（,おと
おと,）
）,してしまった
してしまった,。
。,仕方
仕方,がないから
がないから,、
、,のそのそ
のそのそ,出
出,てきて
てきて,実
実,はこれこれだと
はこれこれだと,清
清,に
に,話
話,したところが
したところが,、
、,清
清,は
は,早速竹
早速竹,の
の,棒
棒,を
を,捜
捜,（
（,さが
さが,）
）,して
して,来
来,て
て,、
、,取
取,って
って,上
上,げますと
げますと,云
云,った
った,。
。,しばらくすると
しばらくすると,井戸端
井戸端,（
（,いどばた
いどばた,）
）,でざあざあ
でざあざあ,音
音,がするから
がするから,、
、,出
出,てみたら
てみたら,竹
竹,の
の,先
先,へ
へ,蝦蟇口
蝦蟇口,の
の,紐
紐,（
（,ひも
ひも,）
）,を
を,引
引,き
き,懸
懸,（
（,か
か,）
）,けたのを
けたのを,水
水,で
で,洗
洗,っていた
っていた,。
。,それから
それから,口
口,をあけて
をあけて,壱円札
壱円札,（
（,いちえんさつ
いちえんさつ,）
）,を
を,改
改,めたら
めたら,茶色
茶色,になって
になって,模様
模様,が
が,消
消,えかかっていた
えかかっていた,。
。,清
清,は
は,火鉢
火鉢,で
で,乾
乾,（
（,かわ
かわ,）
）,かして
かして,、
、,これでいいでしょうと
これでいいでしょうと,出
出,した
した,。
。,ちょっとかいでみて
ちょっとかいでみて,臭
臭,（
（,くさ
くさ,）
）,いやと
いやと,云
云,ったら
ったら,、
、,それじゃお
それじゃお,出
出,しなさい
しなさい,、
、,取
取,り
り,換
換,（
（,か
か,）
）,えて
えて,来
来,て
て,上
上,げますからと
げますからと,、
、,どこでどう
どこでどう,胡魔化
胡魔化,（
（,ごまか
ごまか,）
）,したか
したか,札
札,の
の,代
代,りに
りに,銀貨
銀貨,を
を,三円持
三円持,って
って,来
来,た
た,。
。,この
この,三円
三円,は
は,何
何,に
に,使
使,ったか
ったか,忘
忘,れてしまった
れてしまった,。
。,今
今,に
に,返
返,すよと
すよと,云
云,ったぎり
ったぎり,、
、,返
返,さない
さない,。
。,今
今,となっては
となっては,十倍
十倍,にして
にして,返
返,してやりたくても
してやりたくても,返
返,せない
せない,。
。,清
清,が
が,物
物,をくれる
をくれる,時
時,には
には,必
必,ずおやじも
ずおやじも,兄
兄,も
も,居
居,ない
ない,時
時,に
に,限
限,る
る,。
。,おれは
おれは,何
何,が
が,嫌
嫌,いだと
いだと,云
云,って
って,人
人,に
に,隠
隠,れて
れて,自分
自分,だけ
だけ,得
得,をするほど
をするほど,嫌
嫌,いな
いな,事
事,はない
はない,。
。,兄
兄,とは
とは,無論仲
無論仲,がよくないけれども
がよくないけれども,、
、,兄
兄,に
に,隠
隠,して
して,清
清,から
から,菓子
菓子,（
（,かし
かし,）
）,や
や,色鉛筆
色鉛筆,を
を,貰
貰,いたくはない
いたくはない,。
。,なぜ
なぜ,、
、,おれ
おれ,一人
一人,にくれて
にくれて,、
、,兄
兄,さんには
さんには,遣
遣,（
（,や
や,）
）,らないのかと
らないのかと,清
清,に
に,聞
聞,く
く,事
事,がある
がある,。
。,すると
すると,清
清,は
は,澄
澄,（
（,すま
すま,）
）,したものでお
したものでお,兄様
兄様,（
（,あにいさま
あにいさま,）
）,はお
はお,父様
父様,（
（,とうさま
とうさま,）
）,が
が,買
買,ってお
ってお,上
上,げなさるから
げなさるから,構
構,いませんと
いませんと,云
云,う
う,。
。,これは
これは,不公平
不公平,である
である,。
。,おやじは
おやじは,頑固
頑固,（
（,がんこ
がんこ,）
）,だけれども
だけれども,、
、,そんな
そんな,依怙贔負
依怙贔負,（
（,えこひいき
えこひいき,）
）,はせぬ
はせぬ,男
男,だ
だ,。
。,しかし
しかし,清
清,の
の,眼
眼,から
から,見
見,るとそう
るとそう,見
見,えるのだろう
えるのだろう,。
。,全
全,く
く,愛
愛,に
に,溺
溺,（
（,おぼ
おぼ,）
）,れていたに
れていたに,違
違,（
（,ちが
ちが,）
）,いない
いない,。
。,元
元,は
は,身分
身分,のあるものでも
のあるものでも,教育
教育,のない
のない,婆
婆,さんだから
さんだから,仕方
仕方,がない
がない,。
。,単
単,にこればかりではない
にこればかりではない,。
。,贔負目
贔負目,は
は,恐
恐,ろしいものだ
ろしいものだ,。
。,清
清,はおれをもって
はおれをもって,将来立身出世
将来立身出世,して
して,立派
立派,なものになると
なものになると,思
思,い
い,込
込,んでいた
んでいた,。
。,その
その,癖勉強
癖勉強,をする
をする,兄
兄,は
は,色
色,ばかり
ばかり,白
白,くって
くって,、
、,とても
とても,役
役,には
には,立
立,たないと
たないと,一人
一人,できめてしまった
できめてしまった,。
。,こんな
こんな,婆
婆,さんに
さんに,逢
逢,（
（,あ
あ,）
）,っては
っては,叶
叶,（
（,かな
かな,）
）,わない
わない,。
。,自分
自分,の
の,好
好,きなものは
きなものは,必
必,ずえらい
ずえらい,人物
人物,になって
になって,、
、,嫌
嫌,いなひとはきっと
いなひとはきっと,落
落,ち
ち,振
振,れるものと
れるものと,信
信,じている
じている,。
。,おれはその
おれはその,時
時,から
から,別段何
別段何,になると
になると,云
云,う
う,了見
了見,（
（,りょうけん
りょうけん,）
）,もなかった
もなかった,。
。,しかし
